    Step    Atoms         KinEng            CPU         Volume 
  150001     1005  2.3338009e-06              0          0.011 
  163501     1005  1.3023308e-06  5.8256611e-06      840.47342          0.011 
  164000     1005  1.1324593e-06  5.3157668e-06      832.55462          0.011 
  164001     1005  1.1321665e-06  5.3147752e-06      832.53875          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  164001     1005  1.1321665e-06  5.3147752e-06      840.47342          0.011 
  164501     1005  1.0100206e-06   4.819533e-06      832.56501          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  164501     1005  1.0100206e-06   4.819533e-06      840.47342          0.011 
  165000     1005  9.0989619e-07  4.3137011e-06      832.60652          0.011 
  165001     1005  9.0971421e-07  4.3127024e-06      832.59076          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  165001     1005  9.0971421e-07  4.3127024e-06      840.47342          0.011 
  165501     1005  8.3077542e-07  3.8338303e-06      832.61598          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  165501     1005  8.3077542e-07  3.8338303e-06      840.47342          0.011 
  166000     1005  7.4400978e-07  3.3638807e-06      832.65635          0.011 
  166001     1005  7.4378537e-07  3.3629039e-06      832.64068          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  166001     1005  7.4378537e-07  3.3629039e-06      840.47342          0.011 
  166501     1005  6.1100277e-07  2.8659448e-06      832.66487          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  166501     1005  6.1100277e-07  2.8659448e-06      840.47342          0.011 
  167000     1005  4.9117773e-07    2.40381e-06      832.70412          0.011 
  167001     1005  4.9099818e-07  2.4029518e-06      832.68855          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  167001     1005  4.9099818e-07  2.4029518e-06      840.47342          0.011 
  167501     1005  4.3088777e-07  2.0010937e-06      832.71173          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  167501     1005  4.3088777e-07  2.0010937e-06      840.47342          0.011 
  168000     1005  3.7964593e-07  1.6230713e-06      832.74989          0.011 
  168001     1005  3.7949998e-07  1.6223163e-06      832.73441          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  168001     1005  3.7949998e-07  1.6223163e-06      840.47342          0.011 
  168501     1005  2.8403886e-07  1.2514435e-06      832.75659          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  168501     1005  2.8403886e-07  1.2514435e-06      840.47342          0.011 
  169000     1005  1.8879302e-07  9.1901369e-07      832.79368          0.011 
  169001     1005  1.8864774e-07  9.1840815e-07      832.77829          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  169001     1005  1.8864774e-07  9.1840815e-07      840.47342          0.011 
  169501     1005  1.4298077e-07  6.4930564e-07      832.79949          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  169501     1005  1.4298077e-07  6.4930564e-07      840.47342          0.011 
  170000     1005  1.2016329e-07   4.340841e-07      832.83553          0.011 
  170001     1005   1.201047e-07  4.3368883e-07      832.82022          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  170001     1005   1.201047e-07  4.3368883e-07      840.47342          0.011 
  170501     1005  5.1089359e-08  1.3997119e-07      832.84047          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  170501     1005  5.1089359e-08  1.3997119e-07      840.47342          0.011 
  171000     1005  1.0436197e-08  1.1307099e-08      832.87546          0.011 
  171001     1005  1.0415687e-08  1.1345479e-08      832.86023          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  171001     1005  1.0415687e-08  1.1345479e-08      840.47342          0.011 
  171501     1005  8.5537888e-09   3.373659e-08      832.87952          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  171501     1005  8.5537888e-09   3.373659e-08      840.47342          0.011 
  172000     1005  3.2483009e-08  9.6764531e-08       832.9135          0.011 
  172001     1005  3.2562153e-08  9.6948509e-08      832.89835          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  172001     1005  3.2562153e-08  9.6948509e-08      840.47342          0.011 
  172501     1005  6.3192876e-08  2.1571638e-07      832.91671          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  172501     1005  6.3192876e-08  2.1571638e-07      840.47342          0.011 
  173000     1005  7.6989614e-08  3.8164191e-07      832.94969          0.011 
  173001     1005  7.7024341e-08  3.8202002e-07      832.93461          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  173001     1005  7.7024341e-08  3.8202002e-07      840.47342          0.011 
  173501     1005  1.0874661e-07  5.9130392e-07      832.95207          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  173501     1005  1.0874661e-07  5.9130392e-07      840.47342          0.011 
  174000     1005  1.6337917e-07  8.5023101e-07      832.98407          0.011 
  174001     1005  1.6349597e-07  8.5080696e-07      832.96906          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  174001     1005  1.6349597e-07  8.5080696e-07      840.47342          0.011 
  174501     1005  2.2154702e-07  1.1605689e-06      832.98561          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  174501     1005  2.2154702e-07  1.1605689e-06      840.47342          0.011 
  175000     1005  2.8228672e-07  1.4997154e-06      833.01665          0.011 
  175001     1005  2.8241196e-07  1.5004217e-06       833.0017          0.011 
