# Region type : patch outlet
# Faces  :   4
# Area   :   1.000000e-02
# Time       	sum(phi)
1.215        	1.187994e-02
1.22         	1.187996e-02
1.225        	1.187998e-02
1.23         	1.187999e-02
1.235        	1.188000e-02
1.24         	1.188001e-02
1.245        	1.188002e-02
1.25         	1.188002e-02
1.255        	1.188002e-02
1.26         	1.188002e-02
1.265        	1.188002e-02
1.27         	1.188001e-02
1.275        	1.188000e-02
1.28         	1.187999e-02
1.285        	1.187998e-02
1.29         	1.187997e-02
1.295        	1.187996e-02
1.3          	1.187995e-02
1.305        	1.187993e-02
1.31         	1.187992e-02
1.315        	1.187991e-02
1.32         	1.187990e-02
1.325        	1.187988e-02
1.33         	1.187987e-02
1.335        	1.187986e-02
1.34         	1.187985e-02
1.345        	1.187984e-02
1.35         	1.187984e-02
1.355        	1.187983e-02
1.36         	1.187983e-02
1.365        	1.187983e-02
1.37         	1.187983e-02
1.375        	1.187983e-02
1.38         	1.187983e-02
1.385        	1.187983e-02
1.39         	1.187983e-02
1.395        	1.187984e-02
1.4          	1.187984e-02
1.405        	1.187985e-02
1.41         	1.187986e-02
1.415        	1.187987e-02
1.42         	1.187988e-02
1.425        	1.187988e-02
1.43         	1.187989e-02
1.435        	1.187990e-02
1.44         	1.187991e-02
1.445        	1.187992e-02
1.45         	1.187993e-02
1.455        	1.187993e-02
1.46         	1.187994e-02
1.465        	1.187995e-02
1.47         	1.187995e-02
1.475        	1.187995e-02
1.48         	1.187996e-02
1.485        	1.187996e-02
1.49         	1.187996e-02
1.495        	1.187996e-02
1.5          	1.187995e-02
