# time expDrag(X Y Z) totDrag(X Y Z)
0.1001 0 0 0 0 0 0
0.1002 0 0 0 0 0 0
0.1003 0 0 0 0 0 0
0.1004 0 0 0 0 0 0
0.1005 0 0 0 0 0 0
0.1006 1.46876371452507e-16 2.40853212166406e-16 1.45003306138127e-06 -1.62347052215548e-05 -1.79427255899905e-05 4.35651761278451e-05
0.1007 1.46876371452507e-16 2.40853212166406e-16 1.45003306138127e-06 -1.3302510294082e-05 -1.19099631100251e-05 3.82212436521477e-05
0.1008 1.46876371452507e-16 2.40853212166406e-16 1.45003306138127e-06 -1.03322918652994e-05 -6.74147155951626e-06 3.41909327881912e-05
0.1009 1.46876371452507e-16 2.40853212166406e-16 1.45003306138127e-06 -6.37969627531091e-06 -2.47522834092631e-06 3.23072471229777e-05
0.101 1.46876371452507e-16 2.40853212166406e-16 1.45003306138127e-06 -2.96838578700159e-06 1.11434678699604e-06 3.17594536942485e-05
0.1011 -6.91365379101954e-05 6.49727419570443e-05 0.0117143124151648 -0.000104603129850562 0.000118169561656901 0.0190897172527367
0.1012 -6.91365379101954e-05 6.49727419570443e-05 0.0117143124151648 -9.74806943221769e-05 0.000119073224358381 0.0187792193208268
0.1013 -6.91365379101954e-05 6.49727419570443e-05 0.0117143124151648 -9.00953487256275e-05 0.000119151155457623 0.0185010511888418
0.1014 -6.91365379101954e-05 6.49727419570443e-05 0.0117143124151648 -8.26384040184197e-05 0.000120272801418967 0.018256507488264
0.1015 -6.91365379101954e-05 6.49727419570443e-05 0.0117143124151648 -7.60903131007955e-05 0.000122243517395626 0.0180442566329
0.1016 -4.3112967458904e-05 5.73801064511198e-05 0.0107901990963566 -4.72250070266898e-05 9.16754348630972e-05 0.0171236798794813
0.1017 -4.3112967458904e-05 5.73801064511198e-05 0.0107901990963566 -4.37863637315474e-05 9.56435420784526e-05 0.0169865621590545
0.1018 -4.3112967458904e-05 5.73801064511198e-05 0.0107901990963566 -4.02929074603345e-05 9.95297985879163e-05 0.0168759888148749
0.1019 -4.3112967458904e-05 5.73801064511198e-05 0.0107901990963566 -3.73144299545798e-05 0.000104134166718556 0.0167891061736155
0.102 -4.3112967458904e-05 5.73801064511198e-05 0.0107901990963566 -3.45753407546882e-05 0.000108727930974976 0.016723094533492
0.1021 -3.8087528196266e-06 3.96174828679857e-05 0.0105863058590368 -5.0130489214926e-06 7.73153164622292e-05 0.0176639992856659
0.1022 -3.8087528196266e-06 3.96174828679857e-05 0.0105863058590368 -3.08920207847011e-06 8.17148054053782e-05 0.0176174854759277
