# Region type : patch wall
# Faces  :   264
# Area   :   8.000000e-01
# Time       	sum(phi)
1.17         	-3.541174e-07
1.175        	-3.603605e-07
1.18         	-3.653528e-07
1.185        	-3.690913e-07
1.19         	-3.715792e-07
1.195        	-3.728164e-07
1.2          	-3.728303e-07
1.205        	-3.716220e-07
1.21         	-3.692329e-07
1.215        	-3.655132e-07
1.22         	-3.610021e-07
1.225        	-3.552711e-07
1.23         	-3.484936e-07
1.235        	-3.407462e-07
1.24         	-3.324391e-07
1.245        	-3.534767e-07
1.25         	-3.397165e-07
1.255        	-3.106470e-07
1.26         	-3.037186e-07
1.265        	-3.006732e-07
1.27         	-2.808119e-07
1.275        	-2.612878e-07
1.28         	-2.519131e-07
1.285        	-2.388887e-07
1.29         	-2.190500e-07
1.295        	-2.026366e-07
1.3          	-1.894283e-07
1.305        	-1.725582e-07
1.31         	-1.539439e-07
1.315        	-1.378533e-07
1.32         	-1.219813e-07
1.325        	-1.041254e-07
1.33         	-8.641165e-08
1.335        	-6.981270e-08
1.34         	-5.275457e-08
1.345        	-3.496779e-08
1.35         	-1.758079e-08
1.355        	-5.968193e-10
1.36         	1.541725e-08
1.365        	3.149906e-08
1.37         	4.788847e-08
1.375        	6.387243e-08
1.38         	7.987757e-08
1.385        	9.595311e-08
1.39         	1.118272e-07
1.395        	1.275537e-07
1.4          	1.431758e-07
1.405        	1.586386e-07
1.41         	1.738641e-07
1.415        	1.888331e-07
1.42         	2.035242e-07
1.425        	2.178869e-07
1.43         	2.318535e-07
1.435        	2.453829e-07
1.44         	2.584287e-07
1.445        	2.709274e-07
1.45         	2.828186e-07
1.455        	2.940404e-07
1.46         	3.045377e-07
1.465        	3.142530e-07
1.47         	3.231213e-07
1.475        	3.310934e-07
1.48         	3.380774e-07
1.485        	3.441015e-07
1.49         	3.490233e-07
1.495        	3.528702e-07
1.5          	3.555822e-07
